Month,WeekOfMonth,DayOfWeek,Make,AccidentArea,DayOfWeekClaimed,MonthClaimed,WeekOfMonthClaimed,Sex,MaritalStatus,Age,Fault,PolicyType,VehicleCategory,VehiclePrice,PolicyNumber,RepNumber,Deductible,DriverRating,Days_Policy_Accident,Days_Policy_Claim,PastNumberOfClaims,AgeOfVehicle,AgeOfPolicyHolder,PoliceReportFiled,WitnessPresent,AgentType,NumberOfSuppliments,AddressChange_Claim,NumberOfCars,Year,BasePolicy,ClaimSize,FraudFound_P
Jun,1,Tuesday,Toyota,Rural,Thursday,Jun,2,Male,Married,50,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,12934,1,400,2,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,more than 5,no change,1 vehicle,1996,All Perils,9921.46,
Aug,4,Tuesday,Mazda,Rural,Thursday,Sep,1,Male,Married,31,Third Party,Sport - Collision,Sport,more than 69000,12946,13,400,1,more than 30,more than 30,none,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1996,Collision,5215.35,
Aug,2,Tuesday,Chevrolet,Urban,Tuesday,Aug,2,Male,Married,62,Policy Holder,Sedan - Liability,Sport,30000 to 39000,12947,4,400,2,more than 30,more than 30,none,more than 7,51 to 65,No,No,External,more than 5,no change,1 vehicle,1996,Liability,18665.19,
Jul,1,Friday,Pontiac,Urban,Monday,Jul,2,Male,Married,44,Third Party,Sedan - All Perils,Sedan,less than 20000,12949,14,400,2,more than 30,more than 30,none,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1996,All Perils,1440.92,
Jun,2,Friday,Mazda,Urban,Friday,Jun,2,Male,Married,73,Third Party,Sport - Collision,Sport,more than 69000,12950,14,400,1,more than 30,more than 30,none,more than 7,over 65,No,No,External,more than 5,no change,1 vehicle,1996,Collision,71228.24,
May,1,Monday,Honda,Urban,Tuesday,May,1,Female,Single,24,Policy Holder,Sedan - Liability,Sport,20000 to 29000,12956,10,400,1,more than 30,more than 30,1,2 years,26 to 30,No,No,External,none,no change,1 vehicle,1996,Liability,24066.47,
Feb,1,Tuesday,Mazda,Urban,Tuesday,Feb,1,Male,Single,24,Third Party,Sport - Collision,Sport,more than 69000,12963,9,400,2,more than 30,more than 30,none,6 years,26 to 30,No,No,External,more than 5,no change,1 vehicle,1996,Collision,52103.27,
Apr,5,Friday,Pontiac,Urban,Tuesday,May,1,Male,Single,52,Policy Holder,Utility - All Perils,Utility,more than 69000,12970,3,400,2,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,more than 5,no change,1 vehicle,1996,All Perils,23790.98,
Dec,1,Tuesday,Chevrolet,Urban,Thursday,Dec,2,Female,Married,31,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,12976,4,400,2,more than 30,more than 30,none,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1996,Collision,10980.88,
Sep,1,Monday,Pontiac,Urban,Wednesday,Sep,2,Male,Married,37,Policy Holder,Utility - All Perils,Utility,40000 to 59000,12988,13,400,1,more than 30,more than 30,more than 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1996,All Perils,9994.96,
Oct,4,Thursday,Mazda,Urban,Thursday,Nov,1,Male,Married,60,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,12990,6,700,1,more than 30,more than 30,none,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,1996,Collision,11758.27,
Dec,1,Saturday,Pontiac,Urban,Monday,Dec,1,Female,Married,54,Third Party,Sedan - Collision,Sedan,20000 to 29000,13004,4,400,1,more than 30,more than 30,none,7 years,41 to 50,No,No,External,3 to 5,no change,1 vehicle,1996,Collision,3897.94,
Feb,2,Thursday,Mazda,Urban,Tuesday,Feb,3,Male,Single,34,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,13005,1,400,4,more than 30,more than 30,none,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1996,Collision,8642.43,
Jul,2,Tuesday,Honda,Urban,Wednesday,Jul,2,Male,Married,50,Third Party,Sedan - Collision,Sedan,20000 to 29000,13006,6,500,1,more than 30,more than 30,none,6 years,41 to 50,No,No,External,3 to 5,2 to 3 years,1 vehicle,1996,Collision,525.55,
Dec,3,Saturday,Toyota,Urban,Tuesday,Dec,3,Male,Married,43,Policy Holder,Sedan - Liability,Sport,20000 to 29000,13008,9,400,2,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1996,Liability,13141.98,
Dec,2,Tuesday,Pontiac,Urban,Wednesday,Dec,2,Male,Single,30,Third Party,Sedan - All Perils,Sedan,20000 to 29000,13012,3,400,4,more than 30,more than 30,none,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1996,All Perils,51125.73,
Apr,3,Tuesday,Honda,Rural,Wednesday,Apr,3,Male,Single,26,Third Party,Sedan - Collision,Sedan,20000 to 29000,13016,7,400,2,more than 30,more than 30,1,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1996,Collision,51981.41,
Jul,2,Wednesday,Toyota,Urban,Thursday,Jul,3,Female,Married,37,Policy Holder,Sedan - Liability,Sport,20000 to 29000,13024,10,400,4,more than 30,more than 30,1,6 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1996,Liability,3474.46,
May,3,Monday,Toyota,Rural,Tuesday,Jul,2,Male,Married,31,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,13035,6,400,2,more than 30,more than 30,none,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1996,Collision,79449.4,
Apr,3,Sunday,Mazda,Urban,Tuesday,Apr,3,Male,Married,38,Third Party,Sedan - Collision,Sedan,40000 to 59000,13037,2,400,2,more than 30,more than 30,none,5 years,36 to 40,No,No,Internal,none,no change,1 vehicle,1996,Collision,9550.2,
Mar,1,Friday,Accura,Urban,Monday,Mar,1,Male,Married,49,Policy Holder,Sedan - All Perils,Sedan,more than 69000,13038,15,400,3,more than 30,more than 30,1,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1996,All Perils,4810.62,
Dec,2,Sunday,Accura,Urban,Friday,Dec,3,Male,Married,48,Policy Holder,Sedan - Collision,Sedan,40000 to 59000,13042,6,400,3,more than 30,more than 30,1,more than 7,41 to 50,No,No,External,none,4 to 8 years,2 vehicles,1996,Collision,7132.96,
Dec,2,Monday,Toyota,Urban,Tuesday,Dec,2,Male,Single,34,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,13043,11,400,3,more than 30,more than 30,2 to 4,6 years,31 to 35,Yes,No,External,more than 5,no change,1 vehicle,1996,All Perils,3122.63,
Aug,4,Friday,Pontiac,Rural,Friday,Aug,4,Male,Single,21,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,13047,13,400,1,more than 30,more than 30,2 to 4,6 years,26 to 30,No,No,External,none,no change,1 vehicle,1996,Collision,90234.56,
Jul,4,Wednesday,Mazda,Urban,Monday,Aug,1,Female,Single,39,Policy Holder,Sedan - Liability,Sport,20000 to 29000,13049,4,400,3,more than 30,more than 30,none,6 years,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1996,Liability,11397.22,
Jul,1,Tuesday,Mazda,Urban,Wednesday,Jul,1,Male,Single,57,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,13050,16,400,4,more than 30,more than 30,2 to 4,7 years,51 to 65,No,No,External,more than 5,no change,1 vehicle,1996,All Perils,3551.17,
May,5,Saturday,Honda,Urban,Friday,Jun,2,Male,Married,33,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,13053,14,400,1,more than 30,more than 30,1,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1996,Collision,53952.49,
Nov,1,Thursday,Mazda,Urban,Tuesday,Nov,3,Male,Married,45,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,13058,8,400,4,more than 30,more than 30,none,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1996,Collision,6417.76,
Sep,3,Monday,Pontiac,Urban,Monday,Sep,3,Male,Married,36,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,13060,5,400,3,more than 30,more than 30,none,more than 7,36 to 40,No,No,External,more than 5,no change,1 vehicle,1996,Collision,23233.09,
Sep,3,Thursday,Toyota,Urban,Monday,Oct,4,Male,Married,27,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,13061,9,400,1,more than 30,more than 30,none,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1996,Collision,4546.85,
Sep,2,Wednesday,Mazda,Urban,Thursday,Sep,3,Female,Single,34,Policy Holder,Sedan - Liability,Sport,20000 to 29000,13062,2,400,3,more than 30,more than 30,none,5 years,31 to 35,No,No,External,none,no change,1 vehicle,1996,Liability,1391.42,
Mar,4,Thursday,Honda,Urban,Tuesday,Apr,2,Male,Married,49,Third Party,Sedan - All Perils,Sedan,20000 to 29000,13066,12,400,1,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,1 to 2,no change,1 vehicle,1996,All Perils,7506.78,
May,3,Wednesday,Dodge,Urban,Wednesday,May,3,Male,Single,26,Policy Holder,Sedan - Liability,Sport,40000 to 59000,13069,13,400,4,more than 30,more than 30,1,5 years,31 to 35,No,No,External,none,no change,1 vehicle,1996,Liability,6746.02,
Jun,3,Monday,Chevrolet,Urban,Wednesday,Jun,4,Male,Single,27,Third Party,Sedan - All Perils,Sedan,30000 to 39000,13071,3,400,4,more than 30,more than 30,2 to 4,5 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1996,All Perils,2372.04,
Jun,3,Monday,VW,Rural,Tuesday,Jun,3,Male,Married,56,Policy Holder,Sedan - Liability,Sport,more than 69000,13078,8,400,3,more than 30,more than 30,more than 4,more than 7,51 to 65,No,No,External,1 to 2,no change,1 vehicle,1996,Liability,11186.73,
Dec,3,Saturday,Pontiac,Urban,Tuesday,Dec,4,Male,Married,54,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,13079,13,400,4,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1996,All Perils,51274.39,
Aug,5,Tuesday,Honda,Urban,Wednesday,Aug,5,Female,Married,29,Third Party,Sedan - Collision,Sedan,20000 to 29000,13086,8,400,1,more than 30,more than 30,none,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1996,Collision,76007.35,
Dec,1,Saturday,Ford,Urban,Monday,Dec,1,Male,Single,27,Policy Holder,Sedan - Liability,Sport,40000 to 59000,13089,8,400,4,more than 30,more than 30,2 to 4,7 years,31 to 35,Yes,No,Internal,none,no change,1 vehicle,1996,Liability,3671.86,
Dec,1,Saturday,Mazda,Urban,Monday,Dec,3,Female,Single,32,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,13092,4,400,3,more than 30,more than 30,none,7 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1996,Collision,98652.57,
Jun,4,Wednesday,Chevrolet,Urban,Friday,Jun,4,Male,Married,33,Third Party,Sedan - All Perils,Sedan,20000 to 29000,13101,9,400,1,more than 30,more than 30,1,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1996,All Perils,28290.6,
Dec,4,Friday,Accura,Urban,Friday,Dec,4,Male,Married,62,Third Party,Sedan - Collision,Sedan,30000 to 39000,13107,6,400,3,more than 30,more than 30,2 to 4,more than 7,51 to 65,No,No,External,3 to 5,no change,1 vehicle,1996,Collision,13121.74,
Jun,4,Friday,Chevrolet,Rural,Tuesday,Jul,1,Male,Married,46,Third Party,Sedan - Collision,Sedan,20000 to 29000,13118,6,400,2,more than 30,more than 30,2 to 4,7 years,41 to 50,No,No,External,none,no change,1 vehicle,1996,Collision,80743.26,
Sep,4,Friday,Mazda,Urban,Monday,Sep,4,Male,Single,28,Policy Holder,Sedan - Liability,Sport,20000 to 29000,13121,7,400,1,more than 30,more than 30,more than 4,6 years,31 to 35,No,No,External,1 to 2,no change,3 to 4,1996,Liability,7757.85,
Aug,3,Saturday,Mazda,Urban,Monday,Aug,4,Male,Married,79,Policy Holder,Sedan - Liability,Sport,20000 to 29000,13124,12,400,3,more than 30,more than 30,2 to 4,7 years,over 65,No,No,External,none,no change,1 vehicle,1996,Liability,898.94,
Aug,3,Friday,Honda,Urban,Thursday,Sep,1,Male,Married,78,Policy Holder,Sedan - Liability,Sport,less than 20000,13125,7,400,3,more than 30,more than 30,2 to 4,more than 7,over 65,No,No,External,more than 5,no change,1 vehicle,1996,Liability,5431.03,
Jun,4,Friday,Mazda,Urban,Monday,Jun,4,Female,Married,39,Third Party,Sedan - Collision,Sedan,30000 to 39000,13128,3,400,2,more than 30,more than 30,none,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1996,Collision,29663.9,
May,3,Tuesday,Mazda,Urban,Thursday,May,3,Male,Married,41,Third Party,Sedan - All Perils,Sedan,30000 to 39000,13132,9,400,2,more than 30,more than 30,1,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1996,All Perils,4238.15,
Apr,5,Thursday,Pontiac,Urban,Friday,Apr,5,Male,Single,24,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,13133,10,400,3,more than 30,more than 30,2 to 4,6 years,26 to 30,No,No,External,more than 5,no change,1 vehicle,1996,All Perils,6597.66,
Oct,2,Monday,Mazda,Urban,Monday,Nov,2,Male,Single,32,Third Party,Sedan - Collision,Sedan,20000 to 29000,13137,1,400,3,more than 30,more than 30,1,5 years,31 to 35,No,No,External,none,no change,1 vehicle,1996,Collision,4191.24,
Oct,2,Tuesday,Mazda,Urban,Tuesday,Oct,4,Female,Married,32,Policy Holder,Sedan - Liability,Sport,less than 20000,13138,10,400,4,more than 30,more than 30,1,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1996,Liability,76311.9,
Jun,4,Saturday,Pontiac,Urban,Thursday,Jul,2,Male,Married,49,Third Party,Sedan - Collision,Sedan,20000 to 29000,13142,10,400,3,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,1 to 2,no change,1 vehicle,1996,Collision,87143.39,
Jun,4,Saturday,Pontiac,Rural,Tuesday,Jul,1,Male,Married,53,Policy Holder,Sedan - All Perils,Sedan,less than 20000,13143,9,400,1,more than 30,more than 30,1,6 years,41 to 50,No,No,External,none,no change,1 vehicle,1996,All Perils,3816.7,
Dec,4,Tuesday,Toyota,Urban,Friday,Dec,4,Female,Married,44,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,13150,13,400,2,more than 30,more than 30,1,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1996,All Perils,3785.41,
Jul,3,Wednesday,Chevrolet,Urban,Tuesday,Aug,1,Male,Married,43,Policy Holder,Sedan - Liability,Sport,30000 to 39000,13152,15,400,1,more than 30,more than 30,more than 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1996,Liability,9332.75,
Aug,4,Wednesday,Chevrolet,Urban,Thursday,Aug,4,Male,Married,50,Policy Holder,Sedan - Liability,Sport,30000 to 39000,13168,5,400,3,more than 30,more than 30,more than 4,more than 7,41 to 50,No,No,External,1 to 2,4 to 8 years,2 vehicles,1996,Liability,5355.87,
Aug,2,Saturday,Pontiac,Urban,Thursday,Aug,3,Male,Single,26,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,13178,4,400,4,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1996,All Perils,1572.16,
Nov,2,Friday,Chevrolet,Urban,Wednesday,Nov,4,Female,Married,29,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,13181,16,400,2,more than 30,more than 30,2 to 4,4 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1996,Collision,1400.17,
Jan,5,Monday,Pontiac,Urban,Tuesday,Apr,4,Male,Married,48,Policy Holder,Sedan - Liability,Sport,20000 to 29000,13186,15,400,1,more than 30,more than 30,2 to 4,7 years,41 to 50,No,No,External,1 to 2,no change,1 vehicle,1996,Liability,6486.34,
Sep,3,Friday,Toyota,Urban,Monday,Sep,3,Male,Married,46,Policy Holder,Sedan - Liability,Sport,30000 to 39000,13189,10,400,1,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,more than 5,4 to 8 years,2 vehicles,1996,Liability,12292.3,
Dec,3,Tuesday,Pontiac,Urban,Wednesday,Dec,3,Male,Married,29,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,13190,16,400,1,more than 30,more than 30,1,7 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1996,Collision,3402.52,
Dec,3,Sunday,Honda,Urban,Monday,Dec,3,Male,Single,21,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,13191,8,400,4,more than 30,more than 30,none,5 years,26 to 30,No,No,External,none,no change,1 vehicle,1996,Collision,8231.57,
Aug,5,Thursday,Chevrolet,Urban,Monday,Sep,1,Male,Married,45,Policy Holder,Sedan - Liability,Sport,40000 to 59000,13193,15,400,1,more than 30,more than 30,more than 4,7 years,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1996,Liability,15893.95,
Aug,1,Tuesday,Pontiac,Urban,Thursday,Aug,1,Male,Married,78,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,13199,8,400,1,more than 30,more than 30,2 to 4,more than 7,over 65,No,No,External,more than 5,no change,1 vehicle,1996,All Perils,1668.49,
Jul,4,Saturday,Chevrolet,Urban,Tuesday,Aug,1,Male,Married,44,Policy Holder,Sedan - Liability,Sport,30000 to 39000,13200,14,400,1,more than 30,more than 30,more than 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1996,Liability,5366.61,
May,1,Tuesday,VW,Urban,Thursday,May,1,Male,Single,34,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,13210,5,500,3,more than 30,more than 30,1,6 years,31 to 35,No,No,External,none,2 to 3 years,2 vehicles,1996,Collision,94751.67,
Jun,5,Thursday,Pontiac,Urban,Tuesday,Jul,1,Male,Married,29,Third Party,Sedan - Collision,Sedan,20000 to 29000,13213,1,400,1,more than 30,more than 30,1,6 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1996,Collision,3123.86,
Dec,2,Monday,Toyota,Urban,Tuesday,Dec,3,Male,Single,46,Policy Holder,Sedan - All Perils,Sedan,more than 69000,13217,9,400,2,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,more than 5,no change,1 vehicle,1996,All Perils,2625.88,
Apr,4,Tuesday,Toyota,Urban,Wednesday,May,1,Female,Married,37,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,13218,9,400,3,more than 30,more than 30,none,7 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1996,Collision,5020.13,
May,1,Tuesday,Chevrolet,Urban,Thursday,May,1,Male,Married,30,Third Party,Sedan - All Perils,Sedan,20000 to 29000,13219,15,400,4,more than 30,more than 30,none,7 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1996,All Perils,1125.92,
May,1,Friday,Ford,Urban,Friday,May,1,Male,Widow,64,Policy Holder,Sedan - Collision,Sedan,40000 to 59000,13220,3,400,2,more than 30,more than 30,1,more than 7,51 to 65,No,No,External,1 to 2,no change,1 vehicle,1996,Collision,20599.5,
May,1,Friday,Toyota,Urban,Friday,May,1,Male,Married,23,Policy Holder,Sedan - All Perils,Sedan,less than 20000,13221,14,400,3,more than 30,more than 30,1,5 years,26 to 30,No,No,External,more than 5,no change,1 vehicle,1996,All Perils,71711.54,
Sep,2,Monday,Saab,Urban,Monday,Sep,2,Male,Single,28,Policy Holder,Sedan - Liability,Sport,30000 to 39000,13224,8,400,2,more than 30,more than 30,more than 4,6 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1996,Liability,9028.16,
Sep,2,Tuesday,Pontiac,Urban,Friday,Sep,4,Male,Married,51,Policy Holder,Sedan - Liability,Sport,20000 to 29000,13225,5,400,3,more than 30,more than 30,more than 4,6 years,41 to 50,No,No,External,1 to 2,no change,1 vehicle,1996,Liability,54668.37,
Jun,5,Friday,Chevrolet,Urban,Thursday,Jul,2,Male,Single,56,Third Party,Sedan - Collision,Sedan,20000 to 29000,13238,4,700,3,more than 30,more than 30,more than 4,more than 7,51 to 65,No,No,External,3 to 5,no change,1 vehicle,1996,Collision,8114.41,
May,1,Saturday,Pontiac,Urban,Friday,May,2,Male,Single,32,Policy Holder,Sedan - Liability,Sport,20000 to 29000,13246,6,400,2,more than 30,more than 30,1,5 years,31 to 35,No,No,External,none,no change,1 vehicle,1996,Liability,1927.56,
Jun,5,Friday,Honda,Urban,Wednesday,Jul,1,Male,Married,59,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,13247,11,400,3,more than 30,more than 30,2 to 4,more than 7,51 to 65,No,No,External,more than 5,no change,1 vehicle,1996,Collision,51774.9,
Jun,5,Friday,Mazda,Urban,Wednesday,Jul,1,Male,Single,27,Third Party,Sedan - Collision,Sedan,20000 to 29000,13248,7,400,2,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1996,Collision,64143.11,
Jul,1,Saturday,Pontiac,Urban,Tuesday,Jul,2,Male,Single,26,Third Party,Sedan - Collision,Sedan,30000 to 39000,13251,11,400,3,more than 30,more than 30,more than 4,7 years,31 to 35,No,No,Internal,more than 5,no change,1 vehicle,1996,Collision,5502.4,
Sep,5,Thursday,Mazda,Urban,Thursday,Sep,5,Female,Married,49,Policy Holder,Sedan - Liability,Sport,30000 to 39000,13253,15,400,3,more than 30,more than 30,1,7 years,41 to 50,No,No,External,more than 5,no change,1 vehicle,1996,Liability,2927.74,
Sep,5,Thursday,Mercury,Urban,Monday,Oct,1,Female,Married,49,Policy Holder,Sedan - Collision,Sedan,more than 69000,13254,9,400,3,more than 30,more than 30,1,7 years,41 to 50,No,No,External,1 to 2,no change,1 vehicle,1996,Collision,8920.11,
Sep,1,Thursday,Toyota,Rural,Friday,Sep,1,Male,Single,31,Third Party,Sedan - Liability,Sport,20000 to 29000,13256,15,400,1,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1996,Liability,792.6,
May,3,Wednesday,Pontiac,Urban,Wednesday,May,3,Male,Single,27,Policy Holder,Sedan - Liability,Sport,20000 to 29000,13258,8,400,2,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1996,Liability,1838.24,
May,1,Wednesday,Ford,Urban,Thursday,May,2,Male,Single,29,Policy Holder,Sedan - All Perils,Sedan,60000 to 69000,13260,4,400,1,more than 30,more than 30,1,7 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1996,All Perils,2237.96,
Feb,1,Friday,Honda,Urban,Monday,Mar,1,Male,Married,44,Policy Holder,Sedan - Liability,Sport,30000 to 39000,13261,12,500,3,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,3 to 5,2 to 3 years,1 vehicle,1996,Liability,15562.67,
Jun,2,Sunday,Toyota,Urban,Monday,Jun,2,Male,Married,36,Policy Holder,Sedan - Liability,Sport,30000 to 39000,13263,9,400,2,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1996,Liability,73711.67,
Feb,4,Friday,Pontiac,Urban,Monday,Feb,5,Male,Married,58,Policy Holder,Sedan - Liability,Sport,30000 to 39000,13265,8,400,4,more than 30,more than 30,2 to 4,more than 7,51 to 65,No,No,External,1 to 2,no change,1 vehicle,1996,Liability,96289.12,
Jul,3,Friday,Toyota,Urban,Wednesday,Jul,3,Female,Married,52,Policy Holder,Sedan - All Perils,Sedan,less than 20000,13266,8,400,2,more than 30,more than 30,1,6 years,41 to 50,No,No,External,3 to 5,no change,1 vehicle,1996,All Perils,55531.77,
Jul,3,Wednesday,Pontiac,Rural,Friday,Jul,4,Female,Widow,45,Policy Holder,Sedan - Collision,Sedan,less than 20000,13268,6,400,1,more than 30,more than 30,none,5 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1996,Collision,77087.18,
Jan,2,Wednesday,Toyota,Urban,Thursday,Jan,2,Male,Married,36,Policy Holder,Sedan - Liability,Sport,20000 to 29000,13282,1,400,3,more than 30,more than 30,more than 4,6 years,36 to 40,No,No,External,none,no change,1 vehicle,1996,Liability,12795.36,
May,3,Monday,Mazda,Urban,Tuesday,May,3,Male,Married,34,Third Party,Sedan - Collision,Sedan,20000 to 29000,13287,6,400,3,more than 30,more than 30,none,7 years,31 to 35,No,No,External,none,1 year,1 vehicle,1996,Collision,67016.14,
Sep,4,Saturday,Pontiac,Urban,Monday,Oct,1,Male,Married,41,Third Party,Sedan - Liability,Sport,20000 to 29000,13290,16,400,1,more than 30,more than 30,none,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1996,Liability,10978.63,
Nov,5,Monday,Accura,Urban,Wednesday,Nov,5,Male,Married,31,Policy Holder,Sedan - All Perils,Sedan,30000 to 39000,13291,10,400,2,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1996,All Perils,51297.81,
Dec,4,Monday,Pontiac,Urban,Monday,Jan,1,Male,Married,74,Policy Holder,Sedan - Liability,Sport,more than 69000,13295,11,400,4,more than 30,more than 30,none,more than 7,over 65,No,No,External,none,no change,1 vehicle,1996,Liability,19242.06,
Mar,3,Thursday,Pontiac,Urban,Thursday,Mar,4,Male,Single,21,Policy Holder,Sedan - All Perils,Sedan,less than 20000,13296,4,400,3,more than 30,more than 30,none,3 years,26 to 30,No,No,External,more than 5,no change,1 vehicle,1996,All Perils,92823.94,
May,3,Thursday,Toyota,Urban,Monday,May,4,Female,Married,47,Policy Holder,Sedan - Liability,Sport,more than 69000,13297,14,400,3,more than 30,more than 30,2 to 4,6 years,41 to 50,Yes,No,External,none,no change,1 vehicle,1996,Liability,2332,
Sep,4,Thursday,Mazda,Urban,Thursday,Sep,4,Male,Married,30,Policy Holder,Sedan - Liability,Sport,more than 69000,13304,16,400,4,more than 30,more than 30,none,6 years,31 to 35,No,No,Internal,none,no change,1 vehicle,1996,Liability,56711.16,
Dec,4,Thursday,Mazda,Urban,Tuesday,Dec,4,Male,Married,59,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,13307,7,400,2,more than 30,more than 30,2 to 4,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,1996,All Perils,8051.93,
Sep,4,Saturday,Toyota,Urban,Monday,Sep,4,Female,Married,53,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,13309,12,400,2,more than 30,more than 30,none,7 years,41 to 50,No,No,External,none,no change,1 vehicle,1996,Collision,5483.95,
Apr,2,Friday,Toyota,Urban,Wednesday,Apr,2,Female,Single,32,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,13312,13,500,2,more than 30,more than 30,more than 4,6 years,31 to 35,No,No,External,none,2 to 3 years,1 vehicle,1996,All Perils,3843.34,
Jul,1,Monday,Pontiac,Urban,Thursday,Jul,1,Male,Married,54,Policy Holder,Sedan - All Perils,Sedan,less than 20000,13313,3,400,4,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,3 to 5,no change,1 vehicle,1996,All Perils,88101.03,
Oct,4,Tuesday,Honda,Urban,Monday,Oct,5,Male,Single,42,Third Party,Sedan - Collision,Sedan,more than 69000,13315,7,400,1,more than 30,more than 30,none,new,36 to 40,No,No,External,none,4 to 8 years,2 vehicles,1996,Collision,13386.22,
Sep,3,Friday,Chevrolet,Rural,Tuesday,Sep,3,Male,Single,56,Third Party,Sedan - Collision,Sedan,30000 to 39000,13330,4,400,2,more than 30,more than 30,1,more than 7,51 to 65,No,No,External,more than 5,no change,1 vehicle,1996,Collision,3779.96,
Jun,2,Wednesday,Toyota,Urban,Wednesday,Jun,2,Male,Single,38,Policy Holder,Sedan - Liability,Sport,20000 to 29000,13332,2,400,1,more than 30,more than 30,none,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1996,Liability,58466.53,
